stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
0600MA0544,chepdpa,"Wilmslow, opp Summerfields",53.33794,-2.21737,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0544
0600MA0545,chepdpd,"Wilmslow, o/s Summerfields",53.33785,-2.21711,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0545
0600MA0546,chepdpg,"Wilmslow, opp Benson Walk",53.34020,-2.21379,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0546
0600MA0547,chepdpj,"Wilmslow, Benson Walk (cnr)",53.34019,-2.21352,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0547
0600MA0548,chepdpm,"Wilmslow, opp Peckmill Close",53.34007,-2.21082,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0548
0600MA0549,chepdpt,"Wilmslow, Peckmill Close (cnr)",53.33990,-2.21089,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0549
0600MA0550,chegapg,"Wilmslow, opp Malpas Close",53.33772,-2.20977,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0550
0600MA0551,chegapj,"Wilmslow, Malpas Close (cnr)",53.33748,-2.21013,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0551
0600MA0552,chepdpw,"Wilmslow, opp Wheelock Close",53.33605,-2.21192,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0552
0600MA0553,chepdta,"Wilmslow, Wheelock Close (cnr)",53.33614,-2.21212,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0553
0600MA0554,chegapm,"Styal, Altrincham Road (cnr)",53.34885,-2.24248,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0554
0600MA0555,chegapt,"Styal, opp Altrincham Road",53.34887,-2.24218,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0555
0600MA0568,chepdwt,"Wilmslow, opp Manchester Road",53.33943,-2.22397,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0568
0600MA0569,chepgad,"Wilmslow, nr Manchester Road",53.33960,-2.22400,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0569
0600MA0570,chegapw,"Lacey Green, Lacey Green (NW-bound)",53.33572,-2.22897,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0570
0600MA0571,chegata,"Lacey Green, Lacey Green (SE-bound)",53.33582,-2.22883,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0571
0600MA0580,chepgda,"Lacey Green, Lacey Green (cnr)",53.33813,-2.22727,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0580
0600MA0581,chepgdg,"Lacey Green, nr Lacey Green",53.33815,-2.22688,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0581
0600MA0582,chepgdj,"Lacey Green, opp Mount Pleasant",53.33427,-2.22997,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0582
0600MA0583,chepgdm,"Lacey Green, Mount Pleasant (cnr, Unmarked)",53.33442,-2.23010,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0583
0600MA0584,chepgdp,"Wilmslow, nr Mill Street",53.33018,-2.22832,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0584
0600MA0584A,chetdad,"Wilmslow, Bollin Valley Link (S-bound)",53.33019,-2.22804,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0584A
0600MA0585,chegatj,"Wilmslow, o/s Railway Station",53.32654,-2.22691,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0585
0600MA0587,chegatp,"Wilmslow, Bank Square (Stand A)",53.32682,-2.23093,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0587
0600MA0588,chegatw,"Wilmslow, Bank Square (Stand B)",53.32697,-2.23063,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0588
0600MA0599,chepgma,"Wilmslow, opp Moat House",53.34243,-2.27668,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0599
0600MA0600,chepgmd,"Wilmslow, nr Moat House",53.34251,-2.27474,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0600
0600MA0603,chegawa,"Morley Green, o/s Congregational Church",53.33522,-2.26496,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0603
